code,decoder,noiseModel,shots,rounds,distance,error_rate,runtime [s]
rotated,sparse_blossom,willow,10000.0,100.0,11,,
rotated,sparse_blossom,willow,10000.0,100.0,13,,
rotated,sparse_blossom,willow,10000.0,100.0,15,,
rotated,sparse_blossom,willow,10000.0,100.0,17,,
rotated,sparse_blossom,willow,10000.0,100.0,19,,
rotated,sparse_blossom,willow,10000.0,100.0,21,,
rotated,sparse_blossom,willow,10000.0,100.0,23,,
rotated,sparse_blossom,willow,10000.0,100.0,25,,
rotated,sparse_blossom,willow,10000.0,100.0,27,,
rotated,sparse_blossom,willow,10000.0,100.0,29,,
rotated,sparse_blossom,willow,10000.0,100.0,31,,
rotated,union_find,si1000_004,10000.0,100.0,3,,
rotated,union_find,si1000_004,10000.0,100.0,5,,
rotated,union_find,si1000_004,10000.0,100.0,7,,
rotated,union_find,si1000_004,10000.0,100.0,9,,
rotated,union_find,si1000_004,10000.0,100.0,11,,
rotated,union_find,si1000_004,10000.0,100.0,13,,
rotated,union_find,si1000_004,10000.0,100.0,15,,
rotated,union_find,si1000_004,10000.0,100.0,17,,
rotated,union_find,si1000_004,10000.0,100.0,19,,
rotated,union_find,si1000_004,10000.0,100.0,21,,
rotated,union_find,si1000_004,10000.0,100.0,23,,
rotated,union_find,si1000_004,10000.0,100.0,25,,
rotated,union_find,si1000_004,10000.0,100.0,27,,
rotated,union_find,si1000_004,10000.0,100.0,29,,
rotated,union_find,si1000_004,10000.0,100.0,31,,
rotated,union_find,willow,10000.0,100.0,3,,
rotated,union_find,willow,10000.0,100.0,5,,
rotated,union_find,willow,10000.0,100.0,7,,
rotated,union_find,willow,10000.0,100.0,9,,
rotated,union_find,willow,10000.0,100.0,11,,
rotated,union_find,willow,10000.0,100.0,13,,
rotated,union_find,willow,10000.0,100.0,15,,
rotated,union_find,willow,10000.0,100.0,17,,
rotated,union_find,willow,10000.0,100.0,19,,
rotated,union_find,willow,10000.0,100.0,21,,
rotated,union_find,willow,10000.0,100.0,23,,
rotated,union_find,willow,10000.0,100.0,25,,
rotated,union_find,willow,10000.0,100.0,27,,
rotated,union_find,willow,10000.0,100.0,29,,
rotated,union_find,willow,10000.0,100.0,31,,
